,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
372,San Cristobal,100,VE,1595758732,90,7.77,-72.22,64.08,3.78
373,Cervo,74,ES,1595758734,75,43.67,-7.41,73.0,1.99
374,Coahuayana Viejo,97,MX,1595758735,89,18.73,-103.68,75.42,2.86
375,Yatou,99,CN,1595758722,81,37.15,122.38,72.43,3.6
376,Krasnyy Yar,0,RU,1595758737,14,46.53,48.35,91.4,13.42
377,Skagen,100,DK,1595758738,86,57.72,10.58,66.0,20.0
378,Imeni Poliny Osipenko,100,RU,1595758740,81,52.42,136.49,61.5,2.39
379,Tilichiki,0,RU,1595758741,77,60.47,166.1,59.92,5.06
380,Badiraguato,100,MX,1595758742,93,25.37,-107.52,82.99,1.41
381,Nouadhibou,75,MR,1595758746,83,20.93,-17.03,71.6,16.11
382,Brae,66,GB,1595758748,87,60.4,-1.35,57.2,9.17
383,Pointe-Noire,40,CG,1595758749,74,-4.78,11.86,78.8,4.7
384,Kralendijk,99,BQ,1595758750,100,12.15,-68.27,77.0,8.05
385,Talara,40,PE,1595758751,86,-4.58,-81.27,63.0,15.7
386,Celestún,100,MX,1595758753,82,20.87,-90.4,80.06,13.22
387,Sabha,0,LY,1595758754,15,27.04,14.43,95.04,10.49
388,Tocantins,0,BR,1595758756,49,-10.5,-48.0,71.6,9.17
389,Buluang,97,PH,1595758758,80,13.31,123.34,83.3,0.87
390,Yārāda,40,IN,1595758760,63,17.65,83.27,91.4,6.93
391,Ji’an,100,CN,1595758761,75,27.12,114.98,87.69,2.86
392,Nizhniy Tsasuchey,93,RU,1595758762,74,50.52,115.13,77.85,1.5
393,Biltine,15,TD,1595758763,36,14.53,20.92,91.81,7.38
394,Zaraza,50,VE,1595758765,97,9.35,-65.32,71.17,1.7
395,Tarnogskiy Gorodok,100,RU,1595758766,53,60.5,43.58,72.54,5.91
396,San Felipe,60,VE,1595758768,92,10.34,-68.74,70.5,2.3
397,Semey,23,KZ,1595758769,44,50.41,80.23,77.0,8.95
398,Kirakira,100,SB,1595758770,83,-10.45,161.92,79.57,12.71
399,Bhubaneswar,40,IN,1595758687,70,20.23,85.83,91.4,5.82
400,Husavik,75,IS,1595758774,81,66.04,-17.34,46.4,9.17
401,Sept-Îles,75,CA,1595758775,93,50.2,-66.38,62.6,3.96
402,Gamba,74,GA,1595758776,70,-2.65,10.0,76.68,5.79
403,Vostok,39,RU,1595758777,84,46.49,135.88,66.92,0.72
404,Manzhouli,43,CN,1595758779,48,49.6,117.43,85.33,7.76
405,Klaksvík,40,FO,1595758780,76,62.23,-6.59,53.6,13.87
406,Laas,40,IT,1595758781,77,46.62,10.7,71.01,5.82
407,Gornopravdinsk,100,RU,1595758783,42,60.05,69.9,70.5,5.82
408,Mwinilunga,93,ZM,1595758784,26,-11.74,24.43,75.81,7.07
409,Sisimiut,100,GL,1595758785,92,66.94,-53.67,45.3,10.63
410,Montluçon,93,FR,1595758787,87,46.33,2.6,71.01,11.5
411,Falun,98,SE,1595758788,63,60.6,15.63,71.01,8.05
412,Santa Marta,89,CO,1595758789,88,11.24,-74.2,73.99,5.66
413,Muroto-misakicho,75,JP,1595758791,94,33.28,134.15,75.2,4.7
414,Saint Anthony,75,US,1595758792,88,45.02,-93.22,72.0,9.17
415,Haimen,20,CN,1595758773,59,23.19,116.61,93.2,15.66
416,Imeni Babushkina,66,RU,1595758795,43,59.76,43.13,73.4,4.63
417,Rafaela,0,AR,1595758796,52,-31.25,-61.49,45.0,5.99
418,Beloha,0,MG,1595758797,30,-25.17,45.05,76.28,9.46
419,Ostrovnoy,4,RU,1595758798,57,68.05,39.51,68.32,7.65
420,Cairns,0,AU,1595758501,68,-16.92,145.77,71.6,11.41
421,Natal,40,BR,1595758576,94,-5.79,-35.21,71.6,10.29
422,Santiago de Cuba,20,CU,1595758803,88,20.02,-75.82,77.0,5.82
423,Alta Floresta,16,BR,1595758804,66,-9.88,-56.09,65.75,3.91
424,Beira,75,MZ,1595758636,73,-19.84,34.84,71.6,8.05
425,Iskateley,40,RU,1595758807,45,67.68,53.15,76.93,7.65
426,Warrnambool,99,AU,1595758808,92,-38.38,142.48,46.0,1.54
427,Weyburn,0,CA,1595758810,57,49.67,-103.85,58.21,10.27
428,Sarankhola,100,BD,1595758811,75,22.31,89.79,88.54,8.84
429,Mananara,46,MG,1595758812,73,-16.17,49.77,71.89,13.2
430,Dedovichi,30,RU,1595758813,53,57.55,29.95,72.9,0.78
431,Te Anau,4,NZ,1595758815,88,-45.42,167.72,38.07,1.16
432,Ziniaré,20,BF,1595758816,83,12.58,-1.3,80.6,11.41
433,Dalby,88,AU,1595758818,83,-27.18,151.27,55.0,1.99
434,Wetaskiwin,20,CA,1595758819,93,52.97,-113.37,53.01,6.93
435,Aguililla,100,MX,1595758820,93,18.73,-102.73,65.93,3.8
436,Iqaluit,40,CA,1595758801,87,63.75,-68.51,42.8,3.22
437,Gigmoto,34,PH,1595758823,77,13.78,124.39,83.77,3.69
438,Marand,20,IR,1595758824,11,38.43,45.77,96.8,20.8
439,Urengoy,63,RU,1595758825,47,65.97,78.37,63.84,15.99
440,Cho Dok,91,VN,1595758730,73,10.7,105.12,86.36,8.84
441,Kuvshinovo,86,RU,1595758829,63,57.03,34.17,72.37,2.44
442,Villa Bisonó,20,DO,1595758830,88,19.56,-70.88,78.8,6.55
443,Puerto Escondido,100,MX,1595758831,76,15.85,-97.07,77.7,5.48
444,Araouane,35,ML,1595758833,31,18.9,-3.53,97.92,10.22
445,Winnemucca,1,US,1595758834,25,40.97,-117.74,73.4,18.34
446,Empalme,0,MX,1595758835,84,27.97,-110.82,82.99,3.0
447,Henties Bay,0,NA,1595758836,66,-22.12,14.28,68.0,2.48
448,Sankheda,40,IN,1595758787,56,22.17,73.58,95.0,3.36
449,Okhotsk,9,RU,1595758839,75,59.38,143.3,58.78,12.06
450,Xiongzhou,100,CN,1595758840,56,25.12,114.3,91.9,5.91
451,Canchungo,75,GW,1595758841,74,12.07,-16.03,84.2,5.82
452,Tagusao,39,PH,1595758842,73,9.19,117.81,83.7,2.95
453,Chiredzi,1,ZW,1595758844,33,-21.05,31.67,73.08,4.45
454,Port Blair,54,IN,1595758662,71,11.67,92.75,84.16,3.42
455,Santa Cruz,40,MA,1595758847,69,30.42,-9.6,77.0,3.36
456,Narsaq,100,GL,1595758848,93,60.92,-46.05,46.4,3.36
457,Makarov,95,RU,1595758849,86,48.63,142.8,57.85,6.82
458,Northam,60,GB,1595758850,92,51.03,-4.22,64.99,10.0
459,Phalodi,70,IN,1595758814,39,27.13,72.37,97.88,9.1
460,Dzidzantun,100,MX,1595758853,93,21.25,-89.05,75.06,4.29
461,Denison,1,US,1595758854,88,33.76,-96.54,75.99,4.7
462,Loikaw,100,MM,1595758855,80,19.67,97.21,80.92,2.8
463,Jasper,1,US,1595758857,83,37.2,-94.35,75.2,5.82
464,Nueva Guinea,98,NI,1595758858,94,11.69,-84.46,70.16,2.26
465,Joigny,75,FR,1595758859,56,47.98,3.4,73.4,10.29
466,Rio Branco,75,BR,1595758860,87,-9.97,-67.81,60.8,6.93
467,Cherëmukhovo,85,RU,1595758862,41,60.35,59.99,71.19,5.55
468,Kisangani,41,CD,1595758863,63,0.52,25.2,84.69,2.98
469,Huangmei,100,CN,1595758864,90,30.19,116.03,79.9,2.75
470,Zschopau,100,DE,1595758865,94,50.75,13.07,64.99,18.99
471,Sungai Penuh,78,ID,1595758867,90,-2.08,101.38,71.85,0.96
472,Etchoropo,0,MX,1595758868,66,26.77,-109.67,84.0,3.94
473,Golyshmanovo,81,RU,1595758869,44,56.4,68.37,69.06,6.31
474,Arona,20,ES,1595758870,61,28.1,-16.68,79.0,23.04
475,Half Moon Bay,90,US,1595758871,87,37.46,-122.43,62.6,8.05
476,Lac du Bonnet,41,CA,1595758873,99,50.25,-96.06,60.01,1.99
477,Weihai,100,CN,1595758633,74,37.5,122.11,80.01,7.81
478,Manono,1,CD,1595758875,24,-7.3,27.42,88.21,8.14
479,The Pas,90,CA,1595758877,82,53.83,-101.25,60.8,13.87
480,Nanortalik,97,GL,1595758879,88,60.14,-45.24,43.02,2.04
481,San Quintín,4,MX,1595758880,90,30.48,-115.95,65.34,9.22
482,Kununurra,0,AU,1595758882,24,-15.77,128.73,77.0,9.17
483,Robertsport,100,LR,1595758883,81,6.75,-11.37,76.93,13.71
484,Kathmandu,75,NP,1595758690,69,27.72,85.32,82.4,5.82
485,Luanda,75,AO,1595758885,65,-8.84,13.23,80.6,3.36
486,Saint-Pierre,29,RE,1595758887,68,-21.34,55.48,71.6,33.33
487,Namatanai,99,PG,1595758888,80,-3.67,152.43,81.12,9.37
488,La Macarena,47,CO,1595758889,97,2.18,-73.78,67.1,1.66
489,Ambilobe,98,MG,1595758890,51,-13.2,49.05,77.09,11.21
490,Tefé,95,BR,1595758892,97,-3.35,-64.71,71.6,1.25
491,Nebbi,56,UG,1595758893,65,2.48,31.09,77.23,5.48
492,Budhlāda,76,IN,1595758756,40,29.93,75.57,98.31,1.57
493,Bhatkal,97,IN,1595758897,78,13.97,74.57,81.39,10.71
494,Camaná,73,PE,1595758898,77,-16.62,-72.71,58.19,6.71
495,Mīrābād,0,AF,1595758899,6,30.44,61.84,113.9,17.07
496,Virginia Beach,20,US,1595758900,88,36.85,-75.98,77.0,4.7
497,Nyurba,62,RU,1595758902,79,63.28,118.33,63.32,5.48
498,Philadelphia,20,US,1595758903,100,39.95,-75.16,78.01,4.7
499,Broome,1,US,1595758904,88,42.25,-75.83,64.99,5.82
500,Shiyan,100,CN,1595758905,55,32.65,110.78,75.99,3.11
501,Vallenar,0,CL,1595758907,28,-28.57,-70.76,56.82,1.41
502,Rumford,97,US,1595758908,84,44.55,-70.55,66.99,1.01
503,Coolum Beach,74,AU,1595758909,67,-26.53,153.1,64.0,3.0
504,Ustka,69,PL,1595758911,56,54.58,16.86,75.85,17.02
505,Baculin,95,PH,1595758912,82,7.45,126.58,79.3,3.6
506,Leningradskiy,99,RU,1595758913,79,69.38,178.42,53.28,8.23
507,Cortez,1,US,1595758915,93,37.35,-108.59,60.8,3.6
508,Chapais,90,CA,1595758917,100,49.78,-74.85,66.2,3.36
509,Santa Rosa,88,PH,1595758657,62,14.31,121.11,89.6,6.93
510,Magadan,89,RU,1595758669,89,59.57,150.8,54.54,5.03
511,Norman Wells,40,CA,1595758920,82,65.28,-126.83,55.4,5.82
512,Nabire,100,ID,1595758922,82,-3.37,135.48,79.16,1.07
513,Poronaysk,64,RU,1595758923,92,49.22,143.12,55.78,8.46
514,Nizhneangarsk,63,RU,1595758924,45,55.78,109.55,68.16,0.74
515,Bonavista,74,CA,1595758926,91,48.65,-53.11,58.53,15.39
516,Seminole,1,US,1595758927,88,28.71,-81.21,77.0,2.98
517,Madison Heights,1,US,1595758929,78,42.49,-83.11,72.0,4.7
518,Am Timan,100,TD,1595758930,73,11.03,20.28,81.81,7.11
519,Veinticinco de Mayo,1,AR,1595758931,72,-35.43,-60.17,39.0,1.01
520,Yertsevo,5,RU,1595758932,40,60.8,40.09,73.09,3.89
521,Idenao,75,CM,1595758934,100,4.25,9.0,75.2,1.12
522,Casa Nova,0,BR,1595758935,73,-9.42,-41.13,67.91,20.56
523,Bandrele,75,YT,1595758937,69,-12.91,45.19,78.8,13.87
524,Nago,40,JP,1595758689,79,26.59,127.98,84.2,8.05
525,Menongue,0,AO,1595758939,20,-14.66,17.69,76.8,7.23
526,Eilat,4,IL,1595758941,20,29.56,34.95,102.2,18.34
527,Sibsāgar,90,IN,1595758942,94,26.98,94.63,80.6,3.36
528,Mayumba,100,GA,1595758944,73,-3.43,10.66,74.98,4.23
529,Christchurch,47,NZ,1595758701,77,-43.53,172.63,42.01,2.24
530,Tazovsky,85,RU,1595758946,53,67.47,78.7,57.36,16.8
531,Katangli,19,RU,1595758947,91,51.71,143.23,49.89,9.19
532,Codrington,98,AU,1595758949,83,-38.27,141.97,43.79,0.56
533,Kopervik,75,NO,1595758950,88,59.28,5.31,63.0,2.24
534,Portland,1,US,1595758801,55,45.52,-122.68,64.99,6.93
535,Raja,100,SS,1595758953,83,8.46,25.68,75.65,3.6
536,Berbérati,100,CF,1595758954,94,4.26,15.79,70.83,4.0
537,Krasnomayskiy,100,RU,1595758956,72,57.62,34.41,67.6,3.71
538,Goderich,75,CA,1595758957,83,43.75,-81.72,75.99,1.01
539,Zhezkazgan,75,KZ,1595758959,19,47.8,67.71,89.6,6.71
540,Ekhabi,0,RU,1595758960,86,53.51,142.97,52.09,12.39
541,Itarema,4,BR,1595758962,73,-2.92,-39.92,75.43,15.39
542,Denpasar,20,ID,1595758847,83,-8.65,115.22,78.8,16.11
543,Linares,100,CL,1595758964,72,-35.85,-71.6,45.9,3.31
544,Sioux Lookout,75,CA,1595758966,88,50.1,-91.92,73.4,6.93
545,Chernyshevskiy,2,RU,1595758967,49,63.01,112.47,63.88,7.61
546,Andenes,42,NO,1595758968,68,69.31,16.12,64.4,12.75
547,Yozgat Province,0,TR,1595758970,19,39.58,35.33,86.16,4.12
548,Rockhampton,40,AU,1595758955,68,-23.38,150.5,64.4,4.7
549,Carauari,74,BR,1595758973,96,-4.88,-66.9,71.73,1.21
550,Mount Gambier,100,AU,1595758974,87,-37.83,140.77,44.6,1.57
551,Zhanakorgan,83,KZ,1595758975,13,43.91,67.25,97.23,15.46
552,Mitsamiouli,20,KM,1595758977,58,-11.38,43.28,82.4,20.8
553,Coyhaique,90,CL,1595758687,100,-45.58,-72.07,30.2,3.36
554,Greymouth,68,NZ,1595758881,88,-42.47,171.2,45.34,3.96
555,Port Moresby,40,PG,1595758981,88,-9.44,147.18,78.8,24.16
556,Amazar,93,RU,1595758982,62,53.86,120.88,77.09,8.34
557,Anadyr,60,RU,1595758983,82,64.75,177.48,62.6,11.18
558,College,40,US,1595758985,87,64.86,-147.8,53.6,4.7
559,Teknāf,97,BD,1595758987,73,20.86,92.31,86.25,9.51
560,Bubaque,100,GW,1595758988,81,11.28,-15.83,80.65,14.54
